num,accumTime
1271,45718.60
102,3188.28
209,7667.60
2531,98564.89
2237,64182.00
3661,113467.36
1366,37952.26
2968,92828.95
1182,37779.62
1282,23876.49
1063,33753.69
2157,53054.85
2476,72483.34
2393,82648.36
632,33257.32
3084,96952.38
2544,67189.08
2988,79800.74
2720,84852.18
1074,39212.96
4393,103700.01
9504,364706.39
3512,109337.17
9264,329076.99
164,9330.59
1958,63157.44
3637,100363.32
2723,81526.77
12000,416086.60
5223,141760.28
4205,144964.56
5043,157126.94
1846,61710.04
2990,96216.77
2378,105353.67
1424,63256.38
2876,96676.96
0,0.00
1672,43494.60
3956,108083.56
2160,73985.84
3754,133448.34
1879,46965.83
7488,198339.62
1471,64125.22
3056,99694.82
5880,200893.19
22859,762441.02
6306,207035.58
4522,110398.71
3773,226398.84
8690,321080.18
2114,104122.55
2461,86387.11
1004,33851.63
2971,95252.33
820,23358.63
1936,63728.34
1016,37538.11
779,26373.92
1177,29791.71
2071,57165.76
1292,34082.15
93,2463.50
383,14074.92
603,21829.22
2607,86826.26
3708,86627.17
10319,392981.46
1497,59752.92
745,31946.94
4524,159643.48
8249,270433.53
5788,122358.60
11001,369772.13
1133,35087.33
1820,53921.85
2160,42108.41
8945,310311.81
970,28407.98
2482,59893.20
1448,49132.81
3767,118716.15
1040,34146.28
9447,247765.23
7644,235661.34
45,1503.57
787,37986.15
3378,147730.17
2168,74731.51
1962,61824.72
1842,61227.11
8672,306082.14
7852,318891.61
4329,105631.44
12088,411386.30
1368,50164.34
2768,82638.34
1733,54304.27
1787,61578.89
135,3559.29
4249,146780.85
2781,90092.43
1593,54246.02
1931,72163.38
3991,137022.27
655,25162.92
2129,76058.27
320,11164.75
10207,382051.16
704,33862.48
1050,36174.49
1783,58044.91
1743,51071.73
5258,165080.83
2387,66777.24
2112,79089.00
6983,262243.95
841,28658.17
2016,61089.70
4048,151910.10
25,905.15
40,1688.59
48,2324.83
2475,89946.30
3092,99618.14
2296,73477.85
1141,46758.71
4721,180746.97
946,27251.81
1792,80212.93
3234,120699.92
4206,127827.73
3401,106654.67
7807,204523.90
2397,89143.91
777,25347.39
1483,45151.10
2698,83521.62
2979,68309.36
698,42806.70
270,8273.66
101,4543.37
395,16112.10
12534,427138.41
9343,281224.83
23858,752011.71
2761,93565.41
949,18384.16
3909,150646.96
2352,76054.96
3503,105980.45
1331,46597.27
1776,44829.11
2456,120904.82
1804,47596.60
2441,129843.84
1090,56930.93
1979,72613.49
575,17466.85
2134,57625.92
2054,69348.46
5106,153678.26
635,29951.93
6142,198112.12
1156,39376.41
1037,37430.61
3012,80662.64
2646,79405.12
917,39008.84
536,19481.00
6979,205268.99
4583,148434.61
988,30672.81
358,13669.04
4154,133344.19
1853,62153.00
5246,195390.31
1493,48251.65
1368,41411.85
1719,58312.75
726,27387.84
2045,66484.23
993,37974.27
919,26178.05
980,37167.05
5830,182216.45
5155,165383.26
2676,81020.98
2150,70774.71
4680,187680.60
593,20233.79
722,26599.04
2825,103487.85
1288,38073.70
2363,73684.73
874,31435.72
3802,137426.81
1081,37826.31
9,253.31
5,318.82
20,615.55
0,0.00
0,0.00
0,0.00
0,0.00
0,0.00
0,0.00
25,700.23
5,65.70
20,525.27
41,842.64
12,875.99
0,0.00
69,4321.16
5,233.83
32,5062.18
1,16.20
