020001169,2017-04-06 16:01:45,会展中心南,505408.593871676,2491683.33875384,2017-04-06 16:40:05,爱国大厦,513068.780574675,2494244.92860346,会展中心南-229-1-爱国大厦,会展中心南-229-1-爱国大厦,38.33,17,0,3600.123000
020001188,2017-04-06 07:06:16,笋岗桥,511552.060547734,2494684.70915246,2017-04-06 07:25:43,莲塘消防中队,516178.433193796,2495393.16144904,笋岗桥-202-1-莲塘消防中队,笋岗桥-202-1-莲塘消防中队,19.45,8,0,18325.000000
020001188,2017-04-06 12:31:08,莲塘消防中队,516178.433193796,2495393.16144904,2017-04-06 12:47:29,笋岗桥,511552.060547734,2494684.70915246,莲塘消防中队-202-2-笋岗桥,莲塘消防中队-202-2-笋岗桥,16.35,8,0,0.010000
020001269,2017-04-06 07:17:51,景亿山庄,514079.375901655,2497240.66646418,2017-04-06 08:10:05,竹子林①,500782.303888988,2492206.8596639,景亿山庄-29-2-人民桥|人民桥-204-2-竹子林①,景亿山庄-29-2-人民桥|人民桥-204-2-竹子林①,52.23,23,1,36469.200000
020001269,2017-04-06 18:20:17,竹子林站,500921.1943 ,2492175.1586 ,2017-04-06 18:58:48,布心站,513669.3430 ,2497447.6009 ,竹子林-SUBWAY-2-老街-SUBWAY-1-布吉-SUBWAY-1-布心,竹子林-地铁一号线-2-老街-地铁三号线-1-布吉-地铁五号线-1-布心,38.52,17,0,0.020000
020001270,2017-04-06 10:44:29,金威啤酒街,513264.343084615,2496991.16258545,2017-04-06 11:08:49,人民桥,511214.630758784,2493162.2031529,金威啤酒街-203-2-人民桥,金威啤酒街-203-2-人民桥,24.33,9,0,3269.000000
020001270,2017-04-06 12:03:18,人民桥,511214.630758784,2493162.2031529,2017-04-06 12:16:55,康宁医院,512877.259393586,2495510.45601147,人民桥-203-1-康宁医院,人民桥-203-1-康宁医院,13.62,5,0,35668.000000
020001270,2017-04-06 22:11:23,康宁医院,512877.259393586,2495510.45601147,2017-04-06 22:18:29,松泉公寓,512714.079627966,2496956.33300321,康宁医院-203-1-松泉公寓,康宁医院-203-1-松泉公寓,7.1,3,0,0.020000
020001281,2017-04-06 07:30:55,布心站,513669.3430 ,2497447.6009 ,2017-04-06 07:54:18,五和站,505720.4049 ,2502523.9466 ,布心站-SUBWAY-2-五和站,布心站-地铁五号线-2-五和站,23.38,8,0,2905.000000
881300859,2017-04-06 17:55:06,龙胜站,500759.5660 ,2504511.0750 ,2017-04-06 18:23:50,西丽站,494739.2972 ,2497437.5084 ,龙胜-SUBWAY-2-深圳北-SUBWAY-2-西丽,龙胜-地铁四号线-2-深圳北-地铁五号线-2-西丽,28.73,7,0,0.010000
