爱联3,地铁三号线,523573.806877000020000,2510378.912709999800000
安托山2,地铁二号线,500107.191960000030000,2493886.313949999900000
安托山7,地铁七号线,500128.239026999970000,2493832.920839999800000
八卦岭7,地铁七号线,509198.586220000000000,2495316.344420000000000
白石龙4,地铁四号线,503857.113246000020000,2499707.928170000200000
白石洲1,地铁一号线,496088.518457000030000,2492889.792359999800000
百鸽笼5,地铁五号线,512879.967901000000000,2499039.180190000200000
坂田5,地铁五号线,506753.829390000030000,2502589.972050000000000
宝安11,地铁十一号线,487202.668012999990000,2494566.433490000200000
宝安中心1,地铁一号线,487903.704646999980000,2494551.670909999900000
宝安中心5,地铁五号线,487903.804646999980000,2494551.670909999900000
宝华5,地铁五号线,487674.944991000000000,2494016.254989999800000
宝体1,地铁一号线,487299.140548000000000,2495177.485340000100000
碧海湾11,地铁十一号线,484715.759973999990000,2496814.870800000100000
碧头11,地铁十一号线,481003.628259000020000,2519866.799600000000000
布吉5,地铁五号线,511970.872298000010000,2499733.388739999800000
布吉3,地铁三号线,511970.972298000010000,2499733.388739999800000
布心5,地铁五号线,513669.343004999970000,2497447.600939999800000
草埔3,地铁三号线,511436.761109000010000,2497833.522739999900000
茶光7,地铁七号线,494802.328716000020000,2496694.355339999800000
车公庙7,地铁七号线,502387.417854000000000,2492520.902160000100000
车公庙11,地铁十一号线,502082.247341000010000,2492484.056900000200000
车公庙9,地铁九号线,502378.014115999980000,2492516.430089999900000
车公庙1,地铁一号线,502083.886315000010000,2492477.884920000100000
赤湾2,地铁二号线,488954.758965999990000,2486226.492780000000000
赤尾7,地铁七号线,508094.831795000010000,2491993.081069999800000
翠竹3,地铁三号线,512857.841641000010000,2494721.302190000200000
大芬3,地铁三号线,513695.941437000000000,2501109.207580000200000
大剧院2,地铁二号线,510601.967253000010000,2493033.198940000000000
大剧院1,地铁一号线,510619.875204999990000,2493143.138820000000000
大新1,地铁一号线,490781.986185999990000,2492076.120759999800000
大学城5,地铁五号线,495961.989086000020000,2497631.102400000200000
大运3,地铁三号线,522938.382189000030000,2509072.470950000000000
丹竹头3,地铁三号线,514699.317490999990000,2501729.241899999800000
登良2,地铁二号线,493101.521409999990000,2489528.126869999800000
东角头2,地铁二号线,492411.288041999970000,2486987.686939999900000
翻身5,地铁五号线,488527.279824000030000,2495127.186650000000000
福邻7,地铁七号线,507780.037308999980000,2491250.355049999900000
福民7,地铁七号线,506148.677870000010000,2491041.621950000100000
福民4,地铁四号线,506136.542919999980000,2491040.478079999800000
福田11,地铁十一号线,505184.523768000010000,2492882.413879999900000
福田3,地铁三号线,504950.434976000020000,2492874.987300000200000
福田2,地铁二号线,504950.534976000020000,2492874.987300000200000
福田口岸4,地铁四号线,506582.445186999980000,2490231.793180000000000
福永11,地铁十一号线,479553.008852000000000,2507728.438190000100000
岗厦北2,地铁二号线,506597.209220000020000,2492970.994370000000000
岗厦1,地铁一号线,506469.516911000010000,2492337.690830000200000
高新园1,地铁一号线,494755.795015999990000,2492964.273589999900000
购物公园3,地铁三号线,504957.812061999980000,2492312.550749999900000
购物公园1,地铁一号线,505099.269604999980000,2492311.925580000000000
固戍1,地铁一号线,483772.513832999980000,2499662.594920000100000
国贸1,地铁一号线,511685.024062999990000,2492870.270039999900000
海上世界2,地铁二号线,490769.192727999990000,2486874.376410000000000
海月2,地铁二号线,493096.482913999990000,2488502.707250000000000
荷坳3,地铁三号线,522542.890637999980000,2507667.377119999800000
横岗3,地铁三号线,520963.249925000010000,2504929.081150000000000
红岭9,地铁九号线,510223.339584000000000,2493899.008859999900000
红岭3,地铁三号线,510076.886601999980000,2493916.036700000100000
红岭北9,地铁九号线,510200.233936999980000,2495343.760460000000000
红岭北7,地铁七号线,510200.140933000020000,2495337.675460000100000
红岭南9,地铁九号线,510248.756476000010000,2492821.986099999900000
红山4,地铁四号线,501896.000399000010000,2501970.534010000100000
红树湾2,地铁二号线,496273.338707000020000,2491276.226040000100000
红树湾南9,地铁九号线,496590.715880999980000,2491054.940049999900000
红树湾南11,地铁十一号线,496591.028263000010000,2491061.907029999900000
洪湖7,地铁七号线,512110.676826999990000,2495752.738729999900000
洪浪北5,地铁五号线,490314.229361000010000,2496768.256980000100000
后海2,地铁二号线,493370.437837000000000,2490448.847209999800000
后海11,地铁十一号线,493543.159310000020000,2490562.029269999800000
后瑞1,地铁一号线,482580.548584999980000,2502760.001970000100000
后亭11,地铁十一号线,481707.517854999980000,2516469.876209999900000
湖贝2,地铁二号线,512360.167848000010000,2493376.477210000200000
华强北2,地铁二号线,508243.191610999990000,2493384.285730000100000
华强北7,地铁七号线,508387.673916000000000,2493370.607640000100000
华强路1,地铁一号线,508234.209595000020000,2492947.860189999900000
华强南7,地铁七号线,508402.979670999980000,2492599.597649999900000
华侨城1,地铁一号线,497977.605415000000000,2492198.818060000000000
华新7,地铁七号线,508382.736483999990000,2493900.235880000100000
华新3,地铁三号线,508392.248280000000000,2493887.329450000100000
皇岗村7,地铁七号线,505612.269222999980000,2491031.529380000200000
皇岗口岸7,地铁七号线,507146.666624000000000,2490947.224460000200000
黄贝岭2,地铁二号线,513557.449112999990000,2493591.956939999900000
黄贝岭5,地铁五号线,513557.549112999990000,2493591.956939999900000
黄木岗7,地铁七号线,508430.021309999980000,2494649.620949999900000
会展中心4,地铁四号线,505753.262077000030000,2492322.680670000100000
会展中心1,地铁一号线,505753.362077000030000,2492322.680670000100000
机场北11,地铁十一号线,478657.341887000020000,2505314.511059999900000
机场东1,地铁一号线,481274.821885999990000,2504789.991750000000000
