1,1,6,1,5131.210000
1,1,7,1,2035.220000
1,1,17,7,1956.791429
1,1,18,1,2737.220000
1,1,19,4,2309.225000
1,1,26,1,3731.210000
1,1,27,2,2708.220000
1,1,28,1,2740.220000
1,1,34,8,1483.471250
1,1,47,1,3725.220000
1,1,51,1,4541.210000
1,1,52,1,3339.220000
1,1,56,5,1089.424000
1,1,70,2,6286.710000
1,1,90,1,704.220000
1,1,96,5,3008.420000
1,1,102,2,5299.710000
1,1,103,2,4058.220000
1,1,104,1,1412.220000
1,1,105,5,656.230000
1,1,106,1,4450.220000
1,1,108,1,3640.220000
1,1,116,1,1962.220000
1,1,117,7,859.792857
1,1,118,1,6056.210000
1,1,121,2,5355.210000
1,1,128,1,6256.210000
1,1,131,1,6286.210000
1,1,133,2,2622.220000
1,1,136,1,4498.210000
1,1,150,3,4005.886667
1,1,155,9,899.337778
1,1,156,1,2094.230000
1,1,158,1,7061.210000
1,1,162,2,1295.220000
1,1,165,2,5138.710000
1,1,168,1,2454.220000
1,1,169,1,3429.220000
1,1,172,6,3109.220000
1,1,176,1,6192.210000
1,1,177,1,4115.220000
1,1,179,2,2526.720000
1,1,182,1,4776.210000
1,1,189,1,3270.220000
1,1,196,3,2588.220000
1,1,199,1,4218.210000
1,2,68,1,1418.230000
1,2,77,1,1230.230000
1,2,92,2,1056.730000
1,2,151,1,508.220000
1,2,186,1,2634.220000
1,2,188,2,2058.720000
1,3,66,1,2301.220000
1,3,121,2,2393.225000
1,3,136,2,913.725000
1,3,149,1,1164.220000
1,3,174,2,1195.220000
1,3,192,1,1633.220000
1,4,4,1,322.230000
1,4,6,1,2956.220000
1,4,8,1,2676.220000
1,4,9,1,3362.220000
1,4,14,1,3755.210000
1,4,17,1,1547.230000
1,4,20,1,3068.220000
1,4,21,1,2261.220000
1,4,28,2,2290.220000
1,4,31,2,3337.720000
1,4,32,1,3648.220000
1,4,34,5,2498.220000
1,4,35,3,3557.553333
1,4,36,1,3601.220000
1,4,39,2,1091.220000
1,4,47,1,2322.220000
1,4,49,1,1820.220000
1,4,51,1,7301.210000
1,4,54,2,3378.720000
1,4,56,1,2369.220000
1,4,60,1,448.230000
1,4,63,1,2922.220000
1,4,69,1,1940.220000
1,4,70,3,4818.220000
1,4,72,2,1756.220000
1,4,74,1,710.220000
1,4,76,1,502.220000
1,4,78,1,590.220000
1,4,80,1,1198.220000
1,4,81,1,905.220000
1,4,97,1,3449.220000
1,4,102,2,3634.220000
1,4,106,1,2945.220000
1,4,107,2,2610.220000
1,4,108,4,2655.970000
1,4,116,1,1944.220000
1,4,118,1,2322.220000
1,4,119,1,795.220000
1,4,121,5,3234.620000
1,4,128,3,3914.886667
1,4,129,7,3207.505714
1,4,132,4,1533.970000
1,4,136,6,1674.220000
1,4,147,1,2317.220000
1,4,149,1,1500.230000
1,4,151,2,4614.215000
1,4,155,1,4030.210000
1,4,159,2,429.230000
1,4,160,3,1010.553333
1,4,164,1,4670.220000
1,4,165,1,3950.220000
1,4,166,4,2446.220000
1,4,167,1,1265.230000
1,4,170,1,4001.210000
